Date,Rate,Currency,Factor
4/5/20,3.672989,AED,0.272257826
6/5/20,3.673099,AED,0.272249673
16/5/20,3.6729,AED,0.272264423
22/5/20,3.67298,AED,0.272258493
23/5/20,3.67305,AED,0.272253304
2/6/20,3.673201,AED,0.272242113
3/6/20,3.673201,AED,0.272242113
8/6/20,3.673199,AED,0.272242261
14/6/20,3.672974,AED,0.272258938
24/6/20,3.673201,AED,0.272242113
25/6/20,3.673202,AED,0.272242038
2/7/20,3.672999,AED,0.272257085
11/7/20,3.673,AED,0.272257011
18/7/20,3.673,AED,0.272257011
20/7/20,3.673199,AED,0.272242261
21/7/20,3.673199,AED,0.272242261
31/7/20,3.672949,AED,0.272260791
10/8/20,3.673198,AED,0.272242335
11/8/20,3.673201,AED,0.272242113
20/8/20,3.6732,AED,0.272242187
21/8/20,3.67294,AED,0.272261458
30/8/20,3.672991,AED,0.272257678
6/9/20,3.672977,AED,0.272258715
9/9/20,3.673199,AED,0.272242261
18/9/20,3.67295,AED,0.272260717
23/9/20,3.673202,AED,0.272242038
26/9/20,3.673,AED,0.272257011
30/9/20,3.673202,AED,0.272242038
8/10/20,3.673199,AED,0.272242261
18/10/20,3.672968,AED,0.272259383
22/10/20,3.672999,AED,0.272257085
31/10/20,3.673,AED,0.272257011
2/11/20,3.67299,AED,0.272257752
6/11/20,3.673,AED,0.272257011
7/11/20,3.673,AED,0.272257011
14/11/20,3.673,AED,0.272257011
20/11/20,3.673,AED,0.272257011
21/11/20,3.672999,AED,0.272257085
25/11/20,3.673028,AED,0.272254935
2/12/20,3.673001,AED,0.272256936
6/12/20,3.672982,AED,0.272258345
15/12/20,3.672985,AED,0.272258122
22/12/20,3.672926,AED,0.272262496
25/12/20,3.6732,AED,0.272242187
31/12/20,3.673008,AED,0.272256418
5/1/21,3.673003,AED,0.272256788
9/1/21,3.673,AED,0.272257011
12/1/21,3.67302,AED,0.272255528
22/1/21,3.673,AED,0.272257011
28/1/21,3.672994,AED,0.272257455
6/2/21,3.673,AED,0.272257011
11/2/21,3.673119,AED,0.27224819
19/2/21,3.6731,AED,0.272249598
22/2/21,3.6731,AED,0.272249598
2/3/21,3.673029,AED,0.272254861
10/3/21,3.672985,AED,0.272258122
17/3/21,3.673018,AED,0.272255676
19/3/21,3.673,AED,0.272257011
26/3/21,3.672998,AED,0.272257159
5/4/21,3.673041,AED,0.272253972
12/4/21,3.673036,AED,0.272254342
19/4/21,3.673199,AED,0.272242261
24/4/21,3.6732,AED,0.272242187
26/4/21,3.673202,AED,0.272242038
3/5/21,3.673201,AED,0.272242113
4/5/21,3.6732,AED,0.272242187
6/5/21,3.6732,AED,0.272242187
8/5/21,3.6732,AED,0.272242187
12/5/21,3.673199,AED,0.272242261
14/5/21,3.673102,AED,0.27224945
23/5/21,3.673002,AED,0.272256862
27/5/21,3.673199,AED,0.272242261
1/6/21,3.6732,AED,0.272242187
11/6/21,3.6731,AED,0.272249598
21/6/21,3.673201,AED,0.272242113
24/6/21,3.6732,AED,0.272242187
